Knr;Kommune;Folketall;Barnehage;Grunnskole;25-66_År;Andel_Sysselsatte;Eldre;Korrigert_netto_driftsresultat;Netto_lånegjeld;Disposisjonsfond;Kostnadsnivå_(dagens);Inntektsnivå
1648;Midtre Gauldal;4,7;5,9;5;4,9;5,2;2,9;4,2;3,6;2,7;5;1,2
229;Enebakk;4,8;1,8;4,9;4,7;3,4;5,3;2,5;2,3;3,9;6;1
135;Råde;4,6;3,7;4,8;4,6;2,8;4,8;3,1;5,1;3,3;5,4;1,2
1653;Melhus;4,8;3,9;4,3;5,2;4,2;3,2;3,2;2,8;4;5,6;1,3
719;Andebu;5,3;3,6;4,7;5,3;3;2,6;1,9;4,7;4,9;5,8;1
937;Evje og Hornnes;4,7;2,1;6;4,9;3,3;2,6;3,1;4,7;4;5,1;1,6
417;Stange;3,8;2,8;4,8;4,1;2,8;3;4,2;4,7;4,8;5;1,6
928;Birkenes;6;4,7;6;6;2,7;4;2,9;2,7;2,4;4,5;1,8
1531;Sula;4,8;1,6;6;5;4,4;1,6;2,9;2,9;4,2;5,9;1
1144;Kvitsøy;2,9;6;1;2,9;6;4,5;4,7;5,7;6;3,8;3,8
216;Nesodden;4,3;2,8;4,4;4,2;3,6;4,8;3;3,9;3,7;5,8;1,2
1519;Volda;4,7;5,9;3,9;5;2,8;2,8;4,5;2,6;4,2;4,8;1,2
704;Tønsberg;4,6;4;5,2;4,7;2,4;3,3;4,6;2,8;2,6;5,3;1
415;Løten;3,4;3,3;4,5;3,2;2,4;3,3;3,6;4,5;5,7;5,7;1,3
1516;Ulstein;5,4;4,3;3,7;5,7;3,7;4,3;3,3;1;2,8;5,5;1,5
1244;Austevoll;5,7;4,8;5,7;5,3;5;4,2;1;2,9;2,3;5,8;2
1429;Fjaler;3,1;4,3;6;2;5,8;3,7;4,7;4,4;2;5,4;1,7
1833;Rana;2,5;2,9;3,7;3,2;3;3,7;5,6;3,3;5,4;4,7;2
122;Trøgstad;3,4;1,6;4,7;3,8;3;1,8;4,3;4,9;5,6;5,1;1,2
532;Jevnaker;3,6;2,3;4;4,1;3;3,4;4,2;4,4;4,7;5,4;1
628;Hurum;3,1;1,1;3,3;3,6;2,6;3,6;4,6;5,7;4,1;5,9;1,1
1751;Nærøy;3;3,4;4,4;3,8;3,7;3,2;4,7;3,9;3,6;5,6;1,5
1227;Jondal;5,3;5,4;5,1;4,8;4,3;1;1,9;5,4;3,5;5,2;3,9
1432;Førde;4,3;2,7;3,4;4,8;5,6;4,8;3,8;2,7;3,5;4,6;1,7
1037;Kvinesdal;3,9;3,1;4,3;4,3;2,6;4;5,1;4,2;5,1;2,5;3,5
1263;Lindås;5,5;4,4;4,5;5,2;3,3;3,4;2,4;4,5;4,6;3,5;3,1
807;Notodden;4;3,6;4,1;4,3;1,2;1,9;4,6;4;4,6;5,3;1,9
1743;Høylandet;2,3;1,9;2,5;1,9;6;5,1;4,5;4,9;4,5;5,4;2,1
1127;Randaberg;4,2;3,6;3,9;4,8;4,1;5,4;3,4;4,4;3,9;3,9;2,1
1717;Frosta;3,4;4,8;3,3;4,3;2,4;3,9;4,5;4;4;5,2;1,6
402;Kongsvinger;3;1,9;3,9;3;1;3,1;5,1;4,1;4,4;6;1
624;Øvre Eiker;4,8;4,6;4,2;5;2,9;3,5;2,5;3,4;3,2;6;1
412;Ringsaker;3,4;2,8;3,5;3,9;3,4;3,4;3,6;3,9;5,9;5;1,3
1221;Stord;4,7;4;4,4;4,8;3,4;4,4;3,3;3;3,1;4,8;1,5
1002;Mandal;3,9;3,8;4;4,2;1,6;2,8;4;3,1;4,2;5,7;1,3
219;Bærum;3,8;3,3;4,3;4,3;3,7;2,4;3,4;4,5;5,4;4,4;2,2
1443;Eid;3,1;2,7;4,3;3,5;5;3,8;4,2;2,4;3,7;5,5;1,3
1714;Stjørdal;5,1;3,2;4,4;5,8;3,5;3,9;2,7;1,1;2,9;5,7;1
1528;Sykkylven;2,2;2,1;2,5;2,5;4,9;1,8;6;3,7;4,7;6;1
1703;Namsos;3,2;3,4;3,6;3,3;3,7;2,2;4,8;4,1;4,3;5,3;1,5
1835;Træna;5;6;1,3;4,6;4,1;4,7;4,4;3,1;3,2;3,2;4,5
1252;Modalen;3,9;6;2,5;2,7;3,4;6;4,4;6;5,1;1,1;6
2004;Hammerfest;4,2;3,4;4,1;4,6;3,7;3,3;5,5;1;4,7;1,6;6
136;Rygge;4,2;3,6;3,7;5;2,2;4,7;4;2,3;3,5;4,8;1,3
1804;Bodø;4,3;3,7;4;4,4;3,5;4,6;2,9;3,9;2,6;5,4;2
541;Etnedal;1,3;5;1,6;1,4;4,9;3,6;6;6;6;4,1;2,6
